geoid,year,HIV
19139,2012,0
19141,2012,0
19143,2012,0
19145,2012,25.46
19147,2012,0
19149,2012,0
19151,2012,55.94
19153,2012,10.2
19155,2012,4.31
19157,2012,0
19159,2012,0
19161,2012,0
19163,2012,6.5
19165,2012,0
19167,2012,0
19169,2012,4.39
19171,2012,0
19173,2012,0
19175,2012,0
19177,2012,0
19179,2012,11.31
19181,2012,0
19183,2012,0
19185,2012,0
19187,2012,8.05
19189,2012,37.74
19191,2012,0
19193,2012,2.93
19195,2012,0
19197,2012,0
20001,2012,0
20003,2012,0
20005,2012,0
20007,2012,0
20009,2012,0
20011,2012,0
20013,2012,0
20015,2012,4.56
20017,2012,145.09
20019,2012,0
20021,2012,14.13
20023,2012,0
20025,2012,0
20027,2012,0
20029,2012,0
20031,2012,0
20033,2012,0
20035,2012,8.27
20037,2012,0
20039,2012,0
20041,2012,15.18
20043,2012,0
20045,2012,9.2
20047,2012,0
20049,2012,0
20051,2012,0
20053,2012,0
20055,2012,10.75
20057,2012,0
20059,2012,0
20061,2012,24.6
20063,2012,0
20065,2012,0
20067,2012,0
20069,2012,0
20071,2012,0
20073,2012,0
20075,2012,151.57
20077,2012,0
20079,2012,0
20081,2012,0
20083,2012,0
20085,2012,0
20087,2012,0
20089,2012,0
20091,2012,6.4
20093,2012,0
20095,2012,0
20097,2012,0
20099,2012,18.79
20101,2012,0
20103,2012,7.8
20105,2012,0
20107,2012,42.37
20109,2012,0
20111,2012,11.85
20113,2012,10.22
20115,2012,0
20117,2012,0
20119,2012,0
20121,2012,0
20123,2012,0
20125,2012,0
20127,2012,0
20129,2012,0
20131,2012,0
20133,2012,0
20135,2012,0
20137,2012,0
20139,2012,0
20141,2012,0
20143,2012,0
20145,2012,0
20147,2012,0
20149,2012,0
20151,2012,0
20153,2012,0
20155,2012,0
20157,2012,0
20159,2012,0
20161,2012,5.3
20163,2012,0
20165,2012,0
20167,2012,0
20169,2012,10.9
20171,2012,0
20173,2012,9.1
20175,2012,0
20177,2012,12.9
20179,2012,0
20181,2012,0
20183,2012,0
20185,2012,0
20187,2012,0
20189,2012,0
20191,2012,0
20193,2012,0
20195,2012,0
20197,2012,0
20199,2012,0
20201,2012,0
20203,2012,0
20205,2012,0
20207,2012,0
20209,2012,18.3
21001,2012,21.42
21003,2012,19.79
21005,2012,18.41
21007,2012,36
21009,2012,9.38
21011,2012,25.42
21013,2012,10.64
21015,2012,6.1
21017,2012,20.02
21019,2012,8.14
21021,2012,10.47
21023,2012,47.09
21025,2012,29.34
21027,2012,19.93
21029,2012,12.7
21031,2012,23.36
21033,2012,30.92
21035,2012,10.62
21037,2012,9.1
21039,2012,79.46
21041,2012,36.7
21043,2012,14.63
21045,2012,24.87
21047,2012,13.7
21049,2012,8.38
21051,2012,18.56
21053,2012,29.17
21055,2012,32.33
21057,2012,58.66
21059,2012,7.5
21061,2012,33.14
21063,2012,38.56
21065,2012,27.6
21067,2012,24.5
21069,2012,27.47
21071,2012,10.27
21073,2012,6.02
21075,2012,61.3
21077,2012,47.18
21079,2012,17.74
21081,2012,12.25
21083,2012,10.65
21085,2012,11.55
21087,2012,35.35
21089,2012,10.9
21091,2012,46.1
21093,2012,10.2
21095,2012,14.01
21097,2012,16.11
21099,2012,16.33
21101,2012,8.6
21103,2012,19.58
21105,2012,84.14
21107,2012,6.42
21109,2012,30.01
21111,2012,24.4
21113,2012,8.06
21115,2012,12.83
21117,2012,10.6
21119,2012,18.61
21121,2012,9.45
21123,2012,21.2
21125,2012,6.73
21127,2012,25.24
21129,2012,38.93
21131,2012,35.81
21133,2012,16.7
21135,2012,28.91
21137,2012,12.26
21139,2012,31.84
21141,2012,15.01
21143,2012,47.9
21145,2012,6.1
21147,2012,22.14
21149,2012,31.56
21151,2012,4.72
21153,2012,30.67
21155,2012,19.91
21157,2012,12.76
21159,2012,31.39
21161,2012,22.84
21163,2012,13.68
21165,2012,48.23
21167,2012,18.81
21169,2012,30.09
21171,2012,36.97
21173,2012,14.87
21175,2012,29.27
21177,2012,12.83
21179,2012,9.03
21181,2012,57.14
21183,2012,16.61
21185,2012,6.51
21187,2012,37.16
21189,2012,84.71
21191,2012,20.54
21193,2012,14.16
21195,2012,0
21197,2012,24.03
21199,2012,6.29
21201,2012,182.82
21203,2012,23.52
21205,2012,17.06
21207,2012,22.86
21209,2012,8.15
21211,2012,9.17
21213,2012,17.11
21215,2012,17.23
21217,2012,16.2
21219,2012,31.62
21221,2012,27.69
21223,2012,34.14
21225,2012,26.94
21227,2012,7.1
21229,2012,25.35
21231,2012,19.21
21233,2012,22.09
21235,2012,11.27
21237,2012,41.88
21239,2012,11.96
22001,2012,6.46
22003,2012,15.66
22005,2012,14.5
22007,2012,17.37
22009,2012,9.61
22011,2012,11.03
22013,2012,21.31
22015,2012,5
22017,2012,27
22019,2012,18.8
22021,2012,0
22023,2012,0
22025,2012,38.87
22027,2012,23.77
22029,2012,19.64
22031,2012,14.84
22033,2012,55.9
22035,2012,39.86
